Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
30,56.72,0.34,37.6,2.27,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15, 'model__n_estimators': 100}"
31,56.68,0.34,37.75,2.2,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15, 'model__n_estimators': 75}"
32,56.65,0.35,37.53,2.36,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15, 'model__n_estimators': 50}"
33,56.44,0.36,37.43,2.46,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15, 'model__n_estimators': 25}"
34,55.86,0.27,36.52,1.94,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15, 'model__n_estimators': 10}"
35,56.72,0.34,37.58,2.28,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20, 'model__n_estimators': 100}"
36,56.68,0.34,37.73,2.21,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20, 'model__n_estimators': 75}"
37,56.65,0.35,37.49,2.38,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20, 'model__n_estimators': 50}"
38,56.44,0.36,37.41,2.45,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20, 'model__n_estimators': 25}"
39,55.85,0.27,36.54,1.93,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20, 'model__n_estimators': 10}"
40,51.5,0.28,40.68,1.96,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5, 'model__n_estimators': 100}"
41,51.46,0.28,40.74,1.89,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5, 'model__n_estimators': 75}"
42,51.4,0.28,40.58,1.99,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5, 'model__n_estimators': 50}"
43,51.27,0.3,40.5,2.09,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5, 'model__n_estimators': 25}"
44,50.57,0.29,39.56,2.02,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5, 'model__n_estimators': 10}"
45,69.09,0.63,34.53,2.72,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10, 'model__n_estimators': 100}"
46,68.99,0.61,34.63,2.67,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10, 'model__n_estimators': 75}"
